participant,total_keystrokes,wpm_estimate,hold_mean,hold_std,hold_cv,dd_mean,dd_std,dd_cv,dd_skew,dd_kurtosis,ud_mean,ud_std,overlap_ratio,dd_iqr
p082,5500,75.0,0.3624510909090909,0.9193822981321953,2.5365692673905893,0.20129927272727272,1.3036479156083463,6.476168035512859,-0.04615607137480728,18.50183794429276,-0.1611518181818182,0.9607740461826164,0.42472727272727273,0.18799999999999997
p083,5224,81.63265306122449,0.3139230474732006,0.9509212801683348,3.029154080346756,0.19770367534456357,1.3516477663712831,6.836735655093884,-0.0696636368968487,17.764491360828394,-0.11621937212863706,1.009674173648465,0.24234303215926492,0.154
p084,5083,61.224489795918366,0.07679834743261853,0.10889103651249873,1.4178825476425478,0.24849557348022822,0.24004951470501845,0.9660112304741638,1.658883857730752,324.2424158442614,0.17169722604760967,0.21486571180800582,0.010033444816053512,0.11600000000000002
p085,5679,59.11330049261083,0.11904261313611551,0.07790408035369989,0.6544217931827737,0.32763708399366087,0.40193937019681825,1.2267822839144629,7.49478100440353,114.88612601522387,0.20859447085754534,0.3938489761805422,0.17978517344602923,0.2515
p086,4892,54.054054054054056,0.15040188062142273,0.3326358102702039,2.211646615692815,0.2996598528209321,0.5692240310681811,1.8995672116555895,-1.4709340857740687,163.1435116073175,0.1492579721995094,0.4634541180899589,0.13532297628781684,0.17899999999999996
p087,5348,62.5,0.09080403889304413,0.035735999330773545,0.3935507689571623,0.27492464472700073,0.28124368076996165,1.0229846111076584,9.527869946066474,172.0126768666342,0.18412060583395662,0.27853824310585457,0.0493642483171279,0.192
p088,5028,48.38709677419355,0.08512052505966587,0.042620295034164736,0.5007052647324458,0.39026073985680193,0.42152708853361376,1.0801165617845228,5.987666039377205,78.81891217059864,0.305140214797136,0.41757957593449235,0.011734287987271282,0.257
p089,5254,60.91370558375634,0.14375466311381804,0.3178606123546828,2.211132532814023,0.27916254282451464,0.5158439218237905,1.8478264189908054,0.21748687830854485,173.049332853017,0.13540787971069662,0.40739114193941756,0.19946707270650932,0.18600000000000003
p090,5253,72.72727272727272,0.1103514182371978,0.0424596069010306,0.3847672062516198,0.23903236245954693,0.2929585126220812,1.2256018792085552,11.117799963111334,209.47553308914578,0.12868094422234913,0.28909489282385936,0.11688558918713117,0.126
p091,5239,79.47019867549669,0.17297499522809698,0.3763947227939715,2.1760065511065974,0.1804861614811987,0.5329174654308008,2.952677707018081,-0.6260024951806912,133.94653833588262,0.007511166253101737,0.41952454340075507,0.4491315136476427,0.09899999999999999
p092,5776,68.18181818181819,0.0883066135734072,0.027566885170157936,0.3121723736721288,0.28704605263157895,0.2751161328181177,0.9584390041107009,2.459889710501913,9.081564546234006,0.19873943905817176,0.2714668415030337,0.06977146814404432,0.23399999999999999
p093,5297,71.8562874251497,0.09193128185765527,0.1462843182723067,1.591235489338773,0.26488804983953185,0.3763151336295573,1.4206572695805948,2.7918794995767726,91.03224480039343,0.17295676798187654,0.34627620285964406,0.11591466868038512,0.14
p094,4939,65.21739130434783,0.0792172504555578,0.033510369958374094,0.4230185946326675,0.28804434095970843,0.31924795289106817,1.1083291962181767,4.78249004581771,64.9501464689215,0.20882709050415063,0.3220852994543577,0.09090909090909091,0.16099999999999998
p095,4846,46.875,0.08771027651671481,0.03519942075535883,0.4013146709057631,0.38541766405282707,0.33432463186738515,0.8674346379245373,5.843725399489168,88.4455699851125,0.29770738753611226,0.33100834876264523,0.0012381345439537762,0.26875000000000004
p097,4998,56.07476635514019,0.07889135654261704,0.027107129674830043,0.3436007550483281,0.3747468987595038,0.365916366178952,0.9764360089175304,3.2260256501903757,22.084557959271343,0.29585554221688676,0.3656506017468465,0.0078031212484993995,0.3045
p098,5366,88.88888888888889,0.13824748415952293,0.4908474485733119,3.5504982355188854,0.17506038017144987,0.6996878742864229,3.9968373974806037,0.23862982678279976,71.91651510374578,0.03681289601192695,0.49733082445767307,0.23332090942974282,0.09800000000000002
p099,5356,64.1711229946524,0.0918818147871546,0.03667129634321802,0.399113757473854,0.2827126587005228,0.2572925610222232,0.9100850390104849,2.34426944523739,7.235131118410879,0.1908308439133682,0.25983049015162607,0.10772964899178492,0.186
p100,5714,79.47019867549669,0.09812075603780189,0.03369013430319089,0.3433537985603323,0.21316625831291564,0.18903649406576342,0.8868030783195947,2.583739977377248,8.686771949649124,0.11504550227511376,0.19104820085002666,0.24851242562128106,0.133
